,header_version,scan_name,scan_time,temperature_system,temperature_detector,humidity,pga,wavelength,intensity,reference,valid_length
206,1,cfg8,2024210232237,33.28,32.29,56.87,2,1659.236876,53,15927,220
207,1,cfg8,2024210232237,33.28,32.29,56.87,2,1663.20994,49,15182,220
208,1,cfg8,2024210232237,33.28,32.29,56.87,2,1666.184662,49,14609,220
209,1,cfg8,2024210232237,33.28,32.29,56.87,2,1669.155034,57,13965,220
210,1,cfg8,2024210232237,33.28,32.29,56.87,2,1672.121056,40,13198,220
211,1,cfg8,2024210232237,33.28,32.29,56.87,2,1675.082727,35,12243,220
212,1,cfg8,2024210232237,33.28,32.29,56.87,2,1679.024856,36,10740,220
213,1,cfg8,2024210232237,33.28,32.29,56.87,2,1681.976377,29,9494,220
214,1,cfg8,2024210232237,33.28,32.29,56.87,2,1684.923548,20,8205,220
215,1,cfg8,2024210232237,33.28,32.29,56.87,2,1687.866369,20,6950,220
216,1,cfg8,2024210232237,33.28,32.29,56.87,2,1690.804839,13,5778,220
217,1,cfg8,2024210232237,33.28,32.29,56.87,2,1694.716033,11,4518,220
218,1,cfg8,2024210232237,33.28,32.29,56.87,2,1697.644353,12,3790,220
219,1,cfg8,2024210232237,33.28,32.29,56.87,2,1700.568323,7,3178,220
